73
0 36 72
1 37 70
2 38 68
3 39 66
4 40 64
5 41 62
6 42 60
7 43 58
8 44 56
9 45 54
10 46 52
11 47 50
12 48 48
13 49 46
14 50 44
15 51 42
16 52 40
17 53 38
18 54 36
19 55 34
20 56 32
21 57 30
22 58 28
23 59 26
24 60 24
25 61 22
26 62 20
27 63 18
28 64 16
29 65 14
30 66 12
31 67 10
32 68 8
33 69 6
34 70 4
35 71 2
36 72 0
37 0 71
38 1 69
39 2 67
40 3 65
41 4 63
42 5 61
43 6 59
44 7 57
45 8 55
46 9 53
47 10 51
48 11 49
49 12 47
50 13 45
51 14 43
52 15 41
53 16 39
54 17 37
55 18 35
56 19 33
57 20 31
58 21 29
59 22 27
60 23 25
61 24 23
62 25 21
63 26 19
64 27 17
65 28 15
66 29 13
67 30 11
68 31 9
69 32 7
70 33 5
71 34 3
72 35 1
